Player,Team,Pos,Comb,Total,Ast,Sck
Terrance Mitchell,KC,CB,39,34,5,0
Thomas Davis,CAR,OLB,44,32,12,2
Todd Davis,DEN,ILB,35,22,13,1
Tony Jefferson,BAL,SS,42,28,14,2
Trae Waynes,MIN,CB,42,36,6,0
Tre Boston,LAC,FS,42,29,13,0
Trevor Williams,LAC,CB,35,30,5,0
Trey Flowers,NE,DE,37,27,10,3.5
Tyrann Mathieu,ARI,FS,36,33,3,1
Tyvon Branch,ARI,SS,69,54,15,0
Vernon Hargreaves,TB,CB,38,34,4,0
Vince Williams,PIT,ILB,42,33,9,4
Vincent Rey,CIN,OLB,48,26,22,0
Vonn Bell,NO,FS,32,22,10,1.5
Vontaze Burfict,CIN,OLB,37,27,10,1
Wesley Woodyard,TEN,ILB,71,50,21,2
Zach Brown,WAS,ILB,86,57,29,2.5
Zach Cunningham,HOU,ILB,38,17,21,0
