Player,Team,Pos,Rec,Yds,Avg,Yds/G,Lng,TD,FUM
Taylor Gabriel,ATL,WR,20,245,12.3,30.6,40,1,0
Ted Ginn,NO,WR,28,480,17.1,60,53,3,0
Terrance Williams,DAL,WR,30,357,11.9,44.6,56,0,0
Terrelle Pryor,WAS,WR,20,240,12,30,44,1,0
Tevin Coleman,ATL,RB,16,198,12.4,24.8,39,2,0
Theo Riddick,DET,RB,25,204,8.2,29.1,23,1,0
Todd Gurley,LA,RB,29,338,11.7,42.2,53,3,0
Travis Benjamin,LAC,WR,19,304,16,38,44,3,0
Travis Kelce,KC,TE,51,629,12.3,69.9,44,5,0
Trent Taylor,SF,WR,24,204,8.5,22.7,18,1,0
Ty Montgomery,GB,RB,20,141,7.1,23.5,23,1,0
Tyler Higbee,LA,TE,15,187,12.5,23.4,35,1,0
Tyler Kroft,CIN,TE,25,287,11.5,35.9,59,3,0
Tyler Lockett,SEA,WR,28,355,12.7,44.4,54,0,0
Tyreek Hill,KC,WR,40,617,15.4,68.6,75,4,0
Tyrell Williams,LAC,WR,22,322,14.6,40.2,75,1,1
Vernon Davis,WAS,TE,23,384,16.7,48,69,1,1
Will Fuller,HOU,WR,15,311,20.7,62.2,59,7,0
Zach Ertz,PHI,TE,43,528,12.3,66,53,6,1
Zach Miller,CHI,TE,20,236,11.8,29.5,29,2,0
Zay Jones,BUF,WR,16,168,10.5,21,22,1,0
