Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,FUM
Tarik Cohen,CHI,RB,54,6.8,228,4.2,28.5,1,46,2
Tavon Austin,LA,WR,31,3.9,169,5.5,21.1,1,27,0
Taywan Taylor,TEN,WR,5,0.6,26,5.2,3.2,0,17,0
Ted Ginn,NO,WR,4,0.5,32,8,4,0,15,0
Terrance West,BAL,RB,39,7.8,138,3.5,27.6,2,13,1
Tevin Coleman,ATL,RB,63,7.9,316,5,39.5,1,52,1
Theo Riddick,DET,RB,22,3.1,60,2.7,8.6,0,11,0
Thomas Rawls,SEA,RB,39,6.5,98,2.5,16.3,0,11,1
Todd Gurley,LA,RB,161,20.1,686,4.3,85.8,7,36,5
Tom Brady,NE,QB,15,1.9,28,1.9,3.5,0,7,0
Travis Benjamin,LAC,WR,5,0.6,41,8.2,5.1,0,14,0
Trevor Siemian,DEN,QB,23,3.3,89,3.9,12.7,1,14,1
Ty Montgomery,GB,RB,60,10,186,3.1,31,2,11,0
Tyler Lockett,SEA,WR,7,0.9,44,6.3,5.5,0,22,0
Tyreek Hill,KC,WR,13,1.4,31,2.4,3.4,0,12,0
Tyrod Taylor,BUF,QB,50,6.2,210,4.2,26.2,2,26,1
Wayne Gallman,NYG,RB,45,9,182,4,36.4,0,15,2
Wendell Smallwood,PHI,RB,43,6.1,168,3.9,24,1,26,0
Zach Zenner,DET,RB,10,2.5,16,1.6,4,1,14,0
